Customer_ID,Age,Gender,Location,Income_INR,Purchase_Frequency,Average_Order_Value_INR,Total_Spend_INR,Satisfaction_Score,Preferred_Category,Churn
CUST1051,26,Female,Hyderabad,49180,6,726,4499,5.7,Home,No
CUST1052,28,Female,Bengaluru,55857,5,841,4429,5.6,Clothing,No
CUST1053,60,Female,Hyderabad,28495,6,1926,10879,8.6,Clothing,No
CUST1054,35,Male,Hyderabad,53385,5,1408,7395,6.1,Home,No
CUST1055,42,Female,Mumbai,76301,7,2375,16786,8.7,Beauty,No
CUST1056,18,Female,Hyderabad,43107,10,2560,23661,7.9,Clothing,No
CUST1057,35,Male,Kolkata,73417,4,1952,8073,7.2,Beauty,No
CUST1058,44,Male,Kolkata,56649,9,1103,9581,7.9,Clothing,No
CUST1059,43,Female,Kolkata,30063,6,2485,16157,7.8,Clothing,No
CUST1060,40,Male,Delhi,35068,2,1929,3747,6.9,Grocery,Yes
CUST1061,34,Male,Delhi,71547,4,833,2816,4.6,Clothing,Yes
CUST1062,35,Female,Delhi,64945,6,891,5517,7.5,Electronics,No
CUST1063,18,Male,Hyderabad,56832,5,2786,14313,9.6,Home,No
CUST1064,25,Female,Delhi,50067,7,2678,16314,4.8,Home,Yes
CUST1065,36,Male,Delhi,58790,6,300,1962,5.8,Beauty,No
CUST1066,27,Female,Mumbai,70845,6,917,5963,7.8,Clothing,No
CUST1067,41,Male,Kolkata,81565,5,2542,11383,7.3,Electronics,No
CUST1068,39,Female,Bengaluru,82426,10,1788,16465,7.8,Beauty,No
CUST1069,48,Male,Kolkata,61695,7,2256,15523,6.2,Grocery,No
CUST1070,44,Female,Hyderabad,51905,8,1760,12798,8.9,Beauty,No
CUST1071,36,Male,Bengaluru,57632,4,2225,9584,7.3,Beauty,No
CUST1072,41,Female,Kolkata,64398,3,1804,5509,8.2,Clothing,No
CUST1073,44,Female,Kolkata,64325,4,1516,5268,7.7,Grocery,No
CUST1074,29,Other,Bengaluru,78544,3,2488,6727,7.5,Beauty,No
CUST1075,31,Female,Bengaluru,93084,8,1931,17650,8.1,Electronics,No
CUST1076,33,Male,Bengaluru,160000,3,2224,85000,7.5,Electronics,No
CUST1077,29,Female,Bengaluru,93806,6,1902,12150,5.4,Home,No
CUST1078,44,Male,Kolkata,76100,6,1484,8678,8.8,Grocery,No
CUST1079,28,Male,Delhi,53185,8,2845,21558,8.4,Grocery,No
CUST1080,47,Male,Kolkata,81974,6,2031,12990,4.0,Home,Yes
CUST1081,30,Female,Hyderabad,85342,7,1569,11083,6.2,Beauty,No
CUST1082,39,Female,Bengaluru,46715,8,2631,16981,8.8,Grocery,No
CUST1083,36,Male,Delhi,86180,4,941,4230,4.5,Electronics,Yes
CUST1084,24,Female,Kolkata,74351,7,3254,26457,8.6,Electronics,No
CUST1085,34,Male,Delhi,97634,9,1684,16497,7.0,Clothing,No
CUST1086,37,Male,Delhi,47367,4,976,3393,9.2,Grocery,No
CUST1087,33,Male,Bengaluru,48638,7,3039,19647,7.2,Beauty,No
CUST1088,21,Male,Bengaluru,18520,6,1499,6989,6.1,Home,No
CUST1089,51,Male,Hyderabad,65281,4,1958,9332,7.7,Home,No
CUST1090,35,Female,Mumbai,61755,5,2266,10845,7.2,Beauty,No
CUST1091,26,Female,Kolkata,44866,7,2570,23027,6.0,Clothing,No
CUST1092,50,Male,Bengaluru,53527,7,1995,17242,10.0,Home,No
CUST1093,40,Male,Bengaluru,31398,8,1379,9836,5.7,Grocery,No
CUST1094,22,Male,Mumbai,76572,7,1942,12439,3.8,Clothing,Yes
CUST1095,24,Female,Bengaluru,46185,6,1527,9675,9.6,Grocery,No
CUST1096,32,Male,Mumbai,110693,3,1962,4647,6.3,Electronics,No
CUST1097,37,Female,Mumbai,51839,6,2858,16246,6.8,Clothing,No
CUST1098,40,Other,Mumbai,41327,10,2291,21430,6.7,Home,No
CUST1099,44,Female,Kolkata,47578,4,1934,9454,6.3,Clothing,No
CUST1100,39,Female,Kolkata,29585,10,2280,23241,6.1,Clothing,No
CUST1101,47,Male,Kolkata,63681,3,2327,6742,5.7,Clothing,No
CUST1102,35,Female,Bengaluru,47442,2,1099,2031,7.3,Clothing,Yes
CUST1103,26,Female,Delhi,75363,5,1827,10115,6.6,Grocery,No
CUST1104,34,Female,Mumbai,50055,4,3466,13038,8.3,Electronics,No
CUST1105,33,Male,Hyderabad,79920,5,2588,12862,7.9,Beauty,No
CUST1106,18,Male,Delhi,68634,6,1473,8160,5.8,Clothing,No
CUST1107,28,Male,Delhi,55515,2,1408,2303,7.4,Home,Yes
CUST1108,37,Female,Bengaluru,83444,4,1386,4881,6.6,Clothing,No
CUST1109,30,Female,Delhi,72141,6,2363,13324,5.7,Home,No
CUST1110,28,Female,Kolkata,108032,4,2845,11020,8.2,Grocery,No
CUST1111,43,Male,Delhi,47630,13,2178,27568,7.0,Home,No
CUST1112,25,Female,Kolkata,56379,3,1902,5645,6.6,Beauty,No
CUST1113,41,Male,Hyderabad,83237,4,1511,5690,5.9,Electronics,No
CUST1114,21,Male,Bengaluru,27216,5,2014,11700,5.7,Home,No
CUST1115,62,Male,Bengaluru,78705,10,1267,14111,10.0,Home,No
CUST1116,32,Female,Hyderabad,62907,6,542,3199,7.7,Electronics,No
CUST1117,31,Male,Bengaluru,39012,4,2864,11806,5.6,Beauty,No
CUST1118,45,Female,Kolkata,30465,4,1146,4379,7.6,Clothing,No
CUST1119,30,Female,Hyderabad,42895,5,1589,5234,8.8,Home,No
CUST1120,49,Male,Mumbai,18000,5,2227,11162,7.5,Electronics,No
CUST1121,38,Female,Bengaluru,46188,8,2732,22658,9.3,Grocery,No
CUST1122,33,Male,Hyderabad,66206,7,1967,11104,4.9,Electronics,Yes
CUST1123,32,Male,Delhi,46427,4,1024,4341,4.2,Grocery,Yes
CUST1124,46,Male,Kolkata,79990,7,1604,10850,7.6,Beauty,No
CUST1125,36,Male,Delhi,84879,7,1359,9899,7.6,Clothing,No
CUST1126,38,Female,Mumbai,77962,5,1775,8608,2.2,Electronics,Yes
CUST1127,39,Male,Bengaluru,59152,8,2601,23932,6.3,Home,No
CUST1128,35,Female,Hyderabad,18000,5,300,1541,5.7,Beauty,No
CUST1129,39,Female,Kolkata,42333,8,1533,13739,5.1,Electronics,No
CUST1130,33,Female,Mumbai,52443,4,1485,6713,5.7,Home,No
CUST1131,34,Female,Delhi,38910,5,983,4255,8.1,Electronics,No
CUST1132,23,Female,Delhi,52489,8,2181,15901,5.7,Grocery,No
CUST1133,37,Male,Kolkata,83981,9,880,8349,5.7,Electronics,No
CUST1134,18,Male,Delhi,25376,3,955,2739,4.8,Electronics,Yes
CUST1135,37,Female,Hyderabad,87610,10,2353,22856,9.1,Electronics,No
CUST1136,31,Female,Delhi,70925,7,2775,22424,7.9,Beauty,No
CUST1137,38,Male,Mumbai,59828,5,1751,8429,3.5,Electronics,Yes
CUST1138,24,Female,Bengaluru,42155,8,1009,7133,5.7,Home,No
CUST1139,18,Male,Delhi,39269,3,1341,3620,8.0,Grocery,No
CUST1140,30,Female,Hyderabad,25728,3,2455,9294,9.1,Grocery,No
CUST1141,24,Male,Hyderabad,85902,4,1876,7344,8.5,Electronics,No
CUST1142,18,Male,Delhi,82677,6,1734,8701,6.7,Beauty,No
CUST1143,42,Male,Mumbai,29687,8,2003,12622,4.3,Beauty,Yes
CUST1144,50,Male,Delhi,45053,5,1776,8214,8.5,Home,No
CUST1145,26,Female,Delhi,62797,5,2805,13694,6.8,Electronics,No
CUST1146,33,Male,Kolkata,49609,6,1313,8775,7.3,Grocery,No
CUST1147,31,Female,Mumbai,20464,6,1238,8188,6.9,Beauty,No
CUST1148,27,Male,Mumbai,43160,5,901,4502,5.2,Electronics,No
CUST1149,41,Female,Kolkata,90119,6,1449,8220,7.7,Beauty,No
CUST1150,44,Male,Delhi,44380,7,1090,7941,7.5,Beauty,No
CUST1151,25,Male,Hyderabad,180000,6,1942,95000,6.6,Grocery,No
CUST1152,34,Female,Delhi,34387,8,1814,17962,7.9,Clothing,No
CUST1153,47,Other,Kolkata,65580,9,1099,10667,5.1,Home,No
CUST1154,41,Female,Mumbai,57073,5,2183,12051,6.8,Home,No
CUST1155,42,Female,Hyderabad,41644,6,2786,14561,7.2,Grocery,No
CUST1156,48,Female,Delhi,31516,7,2033,16421,4.6,Beauty,Yes
CUST1157,48,Male,Bengaluru,80282,10,300,2834,7.1,Electronics,No
CUST1158,44,Other,Bengaluru,26100,7,3092,19170,8.3,Beauty,No
CUST1159,35,Female,Delhi,64069,1,2286,2275,6.7,Grocery,Yes
CUST1160,30,Female,Bengaluru,18000,5,3072,15245,7.1,Home,No
CUST1161,35,Female,Delhi,67730,3,2509,6553,8.0,Beauty,No
CUST1162,29,Female,Bengaluru,72465,7,2639,16489,6.6,Home,No
CUST1163,18,Female,Bengaluru,74706,10,1933,17072,6.8,Electronics,No
CUST1164,31,Male,Mumbai,52098,1,1630,1441,5.4,Home,Yes
CUST1165,38,Female,Kolkata,83512,4,2043,7791,7.2,Home,No
CUST1166,28,Male,Hyderabad,96540,1,1339,1116,6.7,Clothing,Yes
CUST1167,32,Female,Delhi,49211,9,2082,17183,7.9,Clothing,No
CUST1168,32,Female,Kolkata,46882,3,300,1013,8.0,Clothing,No
CUST1169,48,Male,Kolkata,57685,5,1828,10043,8.4,Home,No
CUST1170,30,Female,Mumbai,46402,5,2674,11686,6.4,Grocery,No
CUST1171,48,Female,Bengaluru,43770,6,1861,12450,3.9,Home,Yes
CUST1172,18,Female,Kolkata,45339,5,2923,11166,8.3,Grocery,No
CUST1173,47,Female,Mumbai,85884,4,1629,8415,7.8,Grocery,No
CUST1174,47,Male,Delhi,68894,3,2452,8504,6.2,Clothing,No
CUST1175,43,Female,Bengaluru,46343,9,1229,10318,8.0,Beauty,No
CUST1176,18,Female,Kolkata,18000,5,2425,12681,5.0,Electronics,No
CUST1177,44,Male,Bengaluru,27200,6,1951,9738,8.7,Clothing,No
CUST1178,33,Female,Delhi,64062,6,1657,10014,6.7,Clothing,No
CUST1179,18,Male,Hyderabad,18000,8,300,2347,6.0,Beauty,No
CUST1180,47,Male,Kolkata,60274,6,1635,8827,6.3,Electronics,No
CUST1181,48,Female,Delhi,35820,9,1939,16470,6.9,Home,No
CUST1182,18,Female,Kolkata,56653,6,2339,13079,7.2,Home,No
CUST1183,36,Male,Hyderabad,56149,5,2815,12163,7.3,Clothing,No
CUST1184,48,Female,Hyderabad,57171,7,3123,19610,6.6,Electronics,No
CUST1185,46,Male,Delhi,47900,6,2610,12950,7.5,Clothing,No
CUST1186,42,Male,Bengaluru,47309,2,1435,3165,7.2,Grocery,Yes
CUST1187,18,Male,Bengaluru,42026,8,1602,11382,6.2,Clothing,No
CUST1188,41,Male,Mumbai,63710,5,2280,9728,6.0,Clothing,No
CUST1189,32,Male,Mumbai,69493,5,2138,11769,8.1,Home,No
CUST1190,44,Female,Delhi,33058,5,2858,14924,8.0,Home,No
CUST1191,37,Female,Kolkata,54071,7,3412,26190,7.3,Home,No
CUST1192,34,Male,Hyderabad,58538,7,3274,25437,8.6,Grocery,No
CUST1193,40,Female,Hyderabad,58308,5,2771,17076,4.3,Home,Yes
CUST1194,32,Female,Bengaluru,58002,6,2143,12617,6.4,Electronics,No
CUST1195,34,Male,Delhi,47763,5,2677,11044,5.5,Beauty,No
CUST1196,28,Female,Delhi,60023,5,2880,14868,10.0,Electronics,No
CUST1197,18,Other,Bengaluru,66125,9,1704,14105,8.3,Electronics,No
CUST1198,40,Male,Hyderabad,57539,5,1454,6435,7.1,Home,No
CUST1199,26,Male,Hyderabad,64107,8,1301,10533,8.4,Beauty,No
CUST1200,32,Female,Bengaluru,72826,8,1230,10862,8.9,Beauty,No
CUST1201,37,Female,Bengaluru,21683,10,902,8115,8.9,Beauty,No
CUST1202,18,Male,Kolkata,71982,7,1962,15834,8.6,Grocery,No
CUST1203,18,Female,Kolkata,61164,6,1150,6081,6.8,Home,No
CUST1204,31,Female,Hyderabad,34991,11,1291,13785,6.4,Beauty,No
CUST1205,39,Female,Mumbai,69444,9,2256,21245,5.8,Grocery,No
CUST1206,41,Female,Kolkata,47830,6,1918,10972,8.0,Clothing,No
CUST1207,18,Female,Kolkata,50285,7,2079,11451,7.0,Clothing,No
CUST1208,40,Male,Bengaluru,45862,2,2687,5972,6.6,Grocery,Yes
CUST1209,32,Male,Kolkata,60443,11,2362,24038,6.5,Grocery,No
CUST1210,25,Female,Kolkata,40864,11,2787,33397,9.4,Home,No
CUST1211,28,Female,Mumbai,71227,4,1852,6284,8.6,Home,No
CUST1212,42,Male,Bengaluru,52500,7,2848,17320,9.9,Clothing,No
CUST1213,37,Female,Bengaluru,48444,9,2034,20201,8.0,Beauty,No
CUST1214,35,Female,Delhi,68552,2,1910,3976,7.3,Clothing,Yes
CUST1215,36,Male,Bengaluru,49248,8,2750,20842,7.2,Beauty,No
CUST1216,43,Female,Delhi,72067,7,1233,8999,5.7,Beauty,No
CUST1217,33,Female,Delhi,72633,6,3115,16550,5.3,Home,No
CUST1218,35,Female,Bengaluru,30974,6,1617,9830,8.0,Electronics,No
CUST1219,45,Female,Bengaluru,74967,9,1008,9212,5.8,Electronics,No
CUST1220,31,Male,Hyderabad,28683,3,2225,6376,7.5,Grocery,No
CUST1221,40,Female,Bengaluru,76088,6,1555,8395,8.9,Home,No
CUST1222,29,Male,Mumbai,91510,6,3117,18860,6.2,Beauty,No
CUST1223,30,Male,Kolkata,70747,4,1519,6036,10.0,Electronics,No
CUST1224,33,Female,Delhi,18000,6,2004,11352,5.7,Beauty,No
CUST1225,39,Male,Delhi,74144,5,873,3823,8.7,Electronics,No
CUST1226,46,Male,Delhi,95430,4,2328,9326,7.8,Electronics,No
CUST1227,35,Female,Hyderabad,49545,9,1295,11007,9.0,Electronics,No
CUST1228,19,Male,Delhi,54375,5,2251,9858,5.5,Home,No
CUST1229,40,Male,Hyderabad,33607,5,1522,7650,10.0,Clothing,No
CUST1230,59,Female,Bengaluru,60617,3,469,1679,6.9,Beauty,No
CUST1231,35,Female,Bengaluru,77845,6,1885,10812,8.2,Home,No
CUST1232,18,Male,Mumbai,67559,7,1856,15327,9.4,Home,No
CUST1233,36,Female,Mumbai,111555,5,2373,14875,6.3,Home,No
CUST1234,34,Female,Mumbai,55594,5,2811,12447,8.4,Home,No
CUST1235,33,Female,Kolkata,25648,2,3043,6093,6.0,Home,Yes
CUST1236,43,Female,Bengaluru,58077,4,2362,11833,9.3,Grocery,No
CUST1237,48,Other,Delhi,18000,6,1981,11713,6.1,Beauty,No
CUST1238,41,Female,Kolkata,45404,5,872,4379,7.3,Home,No
CUST1239,33,Female,Bengaluru,84239,6,1931,9264,7.7,Beauty,No
CUST1240,45,Female,Kolkata,60852,8,1940,14530,8.4,Grocery,No
CUST1241,19,Male,Hyderabad,58230,9,1671,16042,10.0,Grocery,No
CUST1242,27,Male,Hyderabad,87774,5,2211,14278,6.5,Beauty,No
CUST1243,28,Female,Hyderabad,50129,7,2529,17287,8.9,Electronics,No
CUST1244,34,Female,Delhi,77713,3,1268,3045,10.0,Clothing,No
CUST1245,39,Female,Kolkata,57328,8,1258,8367,7.4,Electronics,No
CUST1246,32,Male,Hyderabad,61841,4,1709,6807,6.4,Electronics,No
CUST1247,25,Female,Mumbai,33089,10,1400,15978,4.6,Electronics,Yes
CUST1248,44,Male,Hyderabad,46323,4,733,3156,10.0,Home,No
CUST1249,32,Male,Hyderabad,29845,6,1152,7294,6.8,Grocery,No
CUST1250,35,Female,Hyderabad,53286,4,999,4624,5.7,Electronics,No
CUST1251,40,Female,Delhi,62027,8,2585,18893,5.2,Grocery,No
CUST1252,34,Female,Delhi,35019,4,2907,11655,5.7,Beauty,No
CUST1253,34,Male,Hyderabad,91885,7,1088,7140,8.6,Clothing,No
CUST1254,44,Male,Delhi,60006,7,2155,14594,8.8,Beauty,No
CUST1255,36,Female,Kolkata,56040,4,2368,8328,8.2,Beauty,No
CUST1256,43,Male,Mumbai,68854,3,830,2387,7.4,Home,No
CUST1257,39,Female,Hyderabad,40079,5,1905,9493,5.3,Clothing,No
CUST1258,54,Female,Bengaluru,57943,9,3447,29640,6.1,Beauty,No
CUST1259,38,Female,Mumbai,42096,6,2240,13180,5.5,Beauty,No
CUST1260,40,Female,Kolkata,83056,11,1641,18928,8.1,Clothing,No
CUST1261,45,Female,Mumbai,35944,5,1436,8247,5.6,Clothing,No
CUST1262,35,Female,Hyderabad,56137,2,485,1123,6.1,Beauty,Yes
CUST1263,28,Male,Kolkata,60928,5,2106,11492,6.9,Clothing,No
CUST1264,29,Male,Mumbai,62107,8,3066,20819,4.7,Beauty,Yes
CUST1265,29,Male,Hyderabad,44538,8,1271,9728,7.3,Beauty,No
CUST1266,24,Male,Bengaluru,38881,7,542,3669,7.0,Home,No
CUST1267,37,Female,Bengaluru,44798,8,1368,10081,9.0,Electronics,No
CUST1268,28,Female,Bengaluru,64510,8,2373,19764,6.0,Beauty,No
CUST1269,36,Male,Delhi,52411,3,1521,3690,5.3,Grocery,No
CUST1270,32,Male,Delhi,69332,3,1267,4573,6.6,Electronics,No
CUST1271,34,Male,Bengaluru,63586,10,1812,20719,5.6,Electronics,No
CUST1272,40,Female,Bengaluru,18000,2,1949,4122,7.3,Electronics,Yes
CUST1273,29,Female,Hyderabad,59455,6,898,5348,4.4,Home,Yes
CUST1274,40,Male,Hyderabad,95508,8,1659,15229,6.3,Beauty,No
CUST1275,50,Female,Mumbai,78855,4,1477,6397,5.8,Home,No
CUST1276,37,Female,Mumbai,62596,9,1383,14100,8.1,Beauty,No
CUST1277,26,Male,Bengaluru,35931,7,1139,7917,6.0,Home,No
CUST1278,28,Female,Bengaluru,63596,8,2412,23439,4.6,Home,Yes
CUST1279,32,Female,Bengaluru,68315,6,1381,9446,6.9,Grocery,No
CUST1280,28,Male,Bengaluru,50433,4,503,2135,7.7,Home,No
CUST1281,24,Male,Hyderabad,60701,10,1972,22692,6.8,Clothing,No
CUST1282,36,Male,Delhi,82174,6,2271,12941,6.3,Grocery,No
CUST1283,32,Male,Delhi,39569,9,1283,9929,6.2,Home,No
CUST1284,36,Female,Kolkata,35951,13,1436,19388,7.4,Electronics,No
CUST1285,46,Female,Mumbai,67469,6,1378,8211,5.9,Clothing,No
CUST1286,32,Male,Kolkata,63236,7,1575,10763,6.7,Clothing,No
CUST1287,22,Male,Mumbai,73519,3,2519,8660,8.3,Clothing,No
CUST1288,30,Male,Mumbai,65256,3,1726,5282,5.2,Grocery,No
CUST1289,42,Male,Delhi,44780,9,2346,21782,7.1,Home,No
CUST1290,41,Female,Mumbai,62779,4,1170,4496,4.5,Home,Yes
CUST1291,39,Male,Kolkata,34442,6,1551,10290,7.5,Electronics,No
CUST1292,28,Male,Kolkata,50494,4,2420,10495,5.7,Electronics,No
CUST1293,42,Male,Hyderabad,64050,6,1276,8459,8.7,Clothing,No
CUST1294,44,Female,Delhi,48511,4,2458,9245,5.0,Electronics,No
CUST1295,27,Male,Kolkata,99425,5,1392,8049,7.9,Grocery,No
CUST1296,34,Female,Mumbai,20941,6,1591,11652,9.0,Home,No
CUST1297,54,Male,Bengaluru,45145,7,2886,22243,5.7,Clothing,No
CUST1298,27,Female,Kolkata,38120,7,1517,9588,5.9,Electronics,No
CUST1299,18,Female,Bengaluru,42394,9,1894,15405,5.8,Grocery,No
CUST1300,48,Male,Kolkata,43426,8,2201,16815,6.5,Grocery,No
